9787532742929,200707,挪威的森林,23,村上春树,小说,上海译文出版社,14321,377448,16.60,18.60,18.60,19.60,None,None,19.30,18.20,18.86,
9787530945728,200608,漫漫古典情系列-人生若只如初见:古典诗词的美丽与哀愁,23.8,安意如,散杂文,天津教育出版社,2402,373838,17.00,16.40,16.40,None,None,None,None,None,46.80,
9787543877450,201111,青春,29,韩寒,散杂文,湖南人民出版社,4925,363264,20.10,23.20,21.80,None,None,None,20.00,9.30,23.20,
9787535443144,201004,夏至未至(2010修订版),26.8,郭敬明,小说,长江文艺出版社有限公司,24525,351558,16.40,18.20,18.20,16.30,None,None,19.00,8.60,20.90,
9787544244077,200904,岛,28,维多利亚·希斯洛普,小说,南海出版公司,75928,350331,19.10,19.10,19.10,18.50,None,None,19.90,19.90,22.40,
9787535445568,201012,临界.爵迹(Ⅱ),22.8,郭敬明,小说,长江文艺出版社有限公司,21237,348471,12.60,13.20,None,15.00,None,17.10,17.10,10.30,18.24,
9787506341271,200710,苏菲的世界,26,乔斯坦·贾德,小说,作家出版社,47554,346296,15.60,17.40,15.60,17.90,None,16.30,17.90,None,21.84,
9787508626482,201103,海底捞你学不会,39,黄铁鹰,企业管理,中信出版股份有限公司,14787,336086,23.80,23.80,23.40,26.50,None,None,28.10,16.00,28.08,
9787539961835,201304,不畏将来不念过去,32,十二,散杂文,江苏凤凰文艺出版社,81113,331559,18.80,18.80,18.80,18.90,None,19.10,22.10,19.20,None,
9787506310710,199807,苏菲的世界,26.8,乔斯坦·贾德,小说,作家出版社,18604,325956,15.80,18.90,18.90,18.50,None,None,18.50,17.40,21.44,
9787200046564,200208,登上健康快车-讲课经典·健康行动,12,洪昭光,健康养生,北京出版社,5,319843,None,None,None,None,None,None,None,4.20,None,
9787111280712,200909,德鲁克管理经典-卓有成效的管理者(珍藏版),30,彼得·德鲁克,管理学与实务综合,机械工业出版社,34577,317915,18.00,19.30,18.00,20.40,None,None,21.00,21.90,12.00,
9787532731077,200307,米兰·昆德拉作品系列-不能承受的生命之轻,23,米兰·昆德拉,小说,上海译文出版社,175,317881,None,18.40,None,None,None,None,None,None,20.70,
9787501970070,200907,健康家常菜系列-新编聪明宝宝营养餐1288例(最新超值版),29.9,健康家常菜编委会,孕产育儿,中国轻工业出版社,58043,311796,16.40,16.40,16.40,19.70,None,None,17.60,9.60,23.92,
9787508628332,201110,别相信任何人,29,S.J.沃森,小说,中信出版股份有限公司,44532,309909,16.90,18.30,16.90,19.10,None,None,20.90,18.90,None,
